customer_id,customer_name,email,signup_date,last_purchase_date,purchase_amount,product_category,country
145,Ryan Perez,ryan.perez@example.com,04-29-2025,21/03/2025,133.82,Fashion,france
328, Rachel Donovan ,,07/08/2024,09-11-2024,210.23,Electronics,France
358,CHRISTOPHER HARRIS,christopher.harris@example.com,13/06/2025,2024-08-24,288.82,Electronics,uk
435,Patricia Caldwell,patricia.caldwell@example.com,17/06/2025,15/02/2025,312.42,Fashion,UK
429,Lori Nelson,lorinelson@@example.com,2024-10-30,08-25-2024,159.17,Fashion,france
183,Jason Bryant,jason.bryant@example.com,2024/08/01,11/06/2025,197.21,Fashion,United States
328,Sara Wang,sara.wang@example.com,2025-03-08,2023-13-40,335.26,Electronics,usa
487,chris reid,chris.reid@example.com,2025/03/30,09-27-2024,325.56,Hom,France
494,Julie Vargas,julievargas@@example.com,16/07/2024,2025/06/01,112.1,Electronics,United Kingdom
193,CLAYTON COLEMAN,clayton.coleman@example.com,2024/09/14,2025/03/13,380.44,home,USA
214, Andrew Miller ,andrew.miller@example.com,2023-13-40,08/06/2025,427.61,electronics,United Kingdom
450,MARK NICHOLS,mark.nichols@example.com,2025/06/03,,-32.55,Fashion,france
252,Tracy Jenkins,tracy.jenkins@example.com,2024-09-13,,80.46,Fashion,USA
243,Stephanie Ingram,stephanie.ingram@example.com,2024/12/07,11-29-2024,8624.18,Electronics,France
444,Scott Michael,scott.michael@example.com,03-13-2025,02-03-2025,362.98,Electronics,france
,Jason Gray,jason.gray@example.com,08-08-2024,12/12/2024,321.54,Electronics,FRA
435,GABRIEL JACKSON,gabriel.jackson@example.com,2024-10-14,,259.4,fashion,United Kingdom
173,Angela Woods,angela.woods@example.com,10/03/2025,05-03-2025,273.81,Fashion,UK
270,Martin Walker,martin.walker@example.com,2025-02-19,05-30-2025,356.85,Home,United States
,AMANDA BLAIR,amanda.blair@example.com,2025/03/27,2024-09-21,354.76,Electronic,
163, Gina Jones ,gina.jones@example.com,02-05-2025,12/12/2024,427.15,Electronics,USA
358,mary martinez md,mary.martinez.md@example.com,11/03/2025,01/11/2024,190.17,Fashion,France
403,Christy Howard,,29/01/2025,08-22-2024,178.6,Electronics,france
210,JOSHUA WARREN,joshua.warren@example.com,08-05-2024,03-11-2025,195.47,Home,France
306,Brett Brady,brett.brady@example.com,2024/11/28,11-19-2024,326.3,Home,UK
407,Leah Garcia,leahgarcia@@example.com,2025/04/15,2025-01-16,398.37,electronics,uk
195,Sandra Castillo,sandra.castillo@example.com,2025/05/18,08-08-2024,42.15,Electronics,usa
486,Shelly Bowers,shelly.bowers@example.com,2024-07-16,27/03/2025,78.06,Fashion,United Kingdom
,Thomas Haas,thomashaas@@example.com,2025/05/23,2023-13-40,390.45,Electronics,United States
049,Stephanie Martinez,stephanie.martinez@example.com,21/03/2025,2023-13-40,78.08,Home,France
124,Rebecca Martin,rebecca.martin@example.com,2025-06-16,2024-11-17,193.4,Electronics,UK
070,Nicholas Stokes,nicholas.stokes@example.com,05-24-2025,07/04/2025,233.66,Fashio,United States
170,Timothy Gray,timothy.gray@example.com,2025-02-04,07/01/2025,258.49,Home,uk
190,ALICIA PRINCE,alicia.prince@example.com,2024/08/23,2025-05-14,273.13,Home,FRA
299,James Obrien,james.obrien@example.com,2024-11-12,2025-03-02,7137.8,Fashion,uk
370,Max Day,max.day@example.com,2025/02/24,04/10/2024,453.47,Home,uk
274,Christine Turner,christine.turner@example.com,2024/07/03,2024/07/17,161.5,Home,usa
494,Douglas Watts,douglas.watts@example.com,27/12/2024,2024-12-12,68.94,Fashion,france
247,Deanna Sandoval,deanna.sandoval@example.com,2025/04/19,05-03-2025,73.35,Home,usa
380,Jonathan Lynch,jonathan.lynch@example.com,2024/07/25,2024/11/29,344.61,Home,UK
069,francisco cameron,francisco.cameron@example.com,2025-04-01,05-28-2025,445.0,Electronics,United States
360, Heather Fleming ,,2023-13-40,,366.07,Home,usa
357,luis sanchez,luis.sanchez@example.com,13/07/2024,15/03/2025,145.68,Fashion,france
403, Sonya Guzman ,sonya.guzman@example.com,2025/03/09,2024-11-08,101.82,Fashion,United States
102,Rebecca Andrews,rebecca.andrews@example.com,2025-04-20,2025/03/22,399.86,Electronics,france
061,MR. ANTHONY ROGERS,mr..anthony.rogers@example.com,2024/10/16,07/05/2025,101.19,Fashion,FRA
426,Jamie Williamson,jamie.williamson@example.com,2025/03/01,2024-12-10,96.45,Electronics,usa
306,Pamela Stewart,pamela.stewart@example.com,08-25-2024,2023-13-40,326.19,Home,FRA
137,LAURA TURNER,laura.turner@example.com,11/11/2024,25/09/2024,311.94,Fashion,FRA
135,Nancy Acevedo,nancy.acevedo@example.com,10/04/2025,2024/11/08,11.26,Hom,USA
277,Dr. Allison Stanley,dr..allison.stanley@example.com,24/06/2025,22/06/2025,-21.8,Fashion,FRA
064,Gloria Peters,gloria.peters@example.com,2024-08-20,2024/07/31,74.25,Electronics,United States
238,John Ballard,john.ballard@example.com,12-31-2024,2024-08-16,322.68,home,france
457,john nichols,john.nichols@example.com,2024-09-14,,315.21,Electronics,USA
468,REGINA BREWER,regina.brewer@example.com,2025/01/08,04/10/2024,485.66,Home,UK
443,Deborah Anderson,deborah.anderson@example.com,2024/11/21,01-09-2025,381.53,Fashion,france
